State,.Net,C++,C#,Javascript,Java ,Android,Security,Full Stack,Front End,Devops,Web Developer,Architect,Data,Applications,Programmer Analyst,Network,Mobile,IT,Software Engineer,Systems Engineer,QA,Intern,Entry Level,Associate,Mid Level,Senior,Principal,Staff,Lead,Director
Alabama,17.0,13.0,0.0,0.0,19.0,0.0,37.0,0.0,0.0,0.0,0.0,8.0,19.0,10.0,11.0,24.0,0.0,134.0,202.0,186.0,22.0,20.0,0.0,15.0,0.0,96.0,0.0,0.0,8.0,43.0
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,11.0,2.0,26.0,0.0,0.0,32.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,12.0,1.0
Arizona,33.0,0.0,0.0,0.0,107.0,0.0,30.0,14.0,14.0,25.0,0.0,60.0,31.0,23.0,0.0,24.0,0.0,120.0,363.0,97.0,33.0,30.0,0.0,0.0,0.0,173.0,18.0,0.0,13.0,83.0
Arkansas,5.0,0.0,0.0,0.0,30.0,0.0,5.0,0.0,0.0,8.0,0.0,4.0,29.0,8.0,14.0,11.0,4.0,36.0,31.0,0.0,13.0,0.0,5.0,9.0,0.0,36.0,0.0,0.0,8.0,19.0
California,129.0,0.0,0.0,0.0,296.0,0.0,92.0,302.0,369.0,633.0,0.0,126.0,412.0,105.0,0.0,0.0,0.0,561.0,5708.0,791.0,297.0,191.0,0.0,0.0,0.0,2406.0,372.0,286.0,123.0,217.0
Colorado,33.0,0.0,0.0,0.0,117.0,0.0,49.0,17.0,0.0,76.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,141.0,761.0,432.0,103.0,119.0,0.0,0.0,0.0,324.0,41.0,0.0,0.0,0.0
Connecticut,46.0,18.0,0.0,20.0,55.0,0.0,0.0,0.0,0.0,17.0,49.0,62.0,34.0,70.0,10.0,12.0,0.0,62.0,221.0,60.0,0.0,9.0,0.0,10.0,0.0,65.0,0.0,0.0,19.0,9.0
Delaware,13.0,0.0,0.0,0.0,66.0,0.0,5.0,5.0,0.0,7.0,0.0,37.0,4.0,47.0,0.0,22.0,9.0,61.0,56.0,4.0,18.0,4.0,0.0,5.0,0.0,48.0,0.0,0.0,28.0,11.0
District of Columbia,45.0,0.0,0.0,0.0,137.0,0.0,111.0,0.0,15.0,24.0,0.0,80.0,43.0,64.0,0.0,30.0,0.0,256.0,245.0,224.0,14.0,0.0,0.0,0.0,0.0,398.0,22.0,0.0,0.0,0.0
Florida,113.0,0.0,0.0,0.0,172.0,39.0,0.0,25.0,31.0,35.0,0.0,84.0,0.0,54.0,36.0,50.0,0.0,199.0,638.0,290.0,0.0,26.0,0.0,29.0,0.0,349.0,0.0,0.0,24.0,198.0
