,Name,Location,Job Title
0,Atavas,"Burleson, Texas",Senior Software Developer/IT Software Engineer
1,"Magic Leap, Inc.","Austin, Texas",Sr. Software Engineer (Developer Tools) - TX
2,Exigo Office,"Garland, Texas",Full Stack .Net Developer
3,HonHai / Foxconn,"Houston, Texas","IT Systems Analyst, Software Engineer, Web Developer"
4,Poetic Systems,"Houston, Texas",App Developer (junior to mid-level)
5,Wikibuy,"Austin, Texas",Senior Backend Developer
6,Blackstone Semo,"Richardson, Texas",Sr. Data warehouse developer
7,Empyrean Benefit Solutions,"Houston, Texas",Systems Developer - Software Engineer - C#
8,KPMG US,"Dallas, Texas",Developer Software Engineer Consultant
9,Getfused,"Grapevine, Texas",Web Developer
10,83bar,"Leander, Texas",Content Developer
11,EHO,"Belton, Texas",COBOL Programmer/Web Developer
12,Experis,"El Paso, Texas",Developer / Programmer - Entry Level
13,Stefanini,"Rochelle, Texas",VBA Developer/Programmer
14,BubbleUp,"Houston, Texas",Magento Developer
15,AlienVault,"Austin, Texas",OTX Lead Developer (Senior Software Engineer)
16,Doist,"Austin, Texas",Front-end Web Developer
17,SHR (Sceptre Hospitality Resources),"Houston, Texas",Software Developer
18,Giact Systems LLC,"Allen, Texas",.Net Developer with Native Mobile App experience
19,Aetna,"Dallas, Texas",Programmer Developer - Aetna Medicaid Pharmacy Management
20,Texas Medical Center,"Houston, Texas",Applications & Report Developer
21,Capgemini,"Houston, Texas",Programmer/Developer Lead - ECM Documentum Developer
22,Brightwing,"Plano, Texas",Full Stack Developer
23,"Paymetric, Inc.","Austin, Texas",SOFTWARE DEVELOPER C#/.NET (WEB)
24,City of Dallas,"Dallas, Texas",AngularJS Developer (Programmer Analyst III)
25,City of Dallas,"Dallas, Texas",AngularJS Developer (Programmer Analyst III)
26,Pedigo Staffing Services,"Austin, Texas",PeopleSoft Programmer/Developer
27,"Insight Recruitment, LLC","Dallas, Texas",C# ERP Application Developer-Acumatica
28,Cervello Inc,"Dallas, Texas",Tableau Developer
29,"Technology Navigators, Inc.","Austin, Texas","Lead Software Developer - Mobile, Xamarin, C#"
30,"OnviSource, Inc.","Plano, Texas",Senior Web Developer
31,The University of Texas at Austin,"Austin, Texas",Senior Web Developer
32,Two95 International Inc.,"Dallas, Texas",SharePoint Developer
33,eclaro,"Houston, Texas",Senior Java Developer
34,"Pinnacle Group, Inc.","Houston, Texas",Full Stack Developer
35,Callaway Golf,"Austin, Texas",Front End Developer
36,Apex Capital Corp,"Garland, Texas",Java Developer
37,Lightbeam Health Solutions,"Irving, Texas",Bi Developer
38,TicketCity,"Austin, Texas",Developer Lead
39,The Marsden Group,"Houston, Texas",.Net Developer - Big Data / Cloud
40,Eateam,"Dallas, Texas",Sr.iOS developer(SWIFT)
41,USM,"Irving, Texas","Two different positions with the single client Java developer with AWS, Frontend UI Developer with React, AKKA, Play at Texas location."
42,Icon Information Consultants,"Houston, Texas",Web Methods Developer
43,Coder Camps,"Houston, Texas",JavaScript MEAN Stack Developer Instructor
44,"EPE Innovations LLC., Dallas, Texas","Garland, Texas",Sr. C# .NET Developer
45,Red Knight Solutions,"Richardson, Texas",Server-Side Java Developer
46,projekt202,"Garland, Texas",Senior .NET Developer
47,McDowell Label,"Plano, Texas",Software Developer / System Administrator
48,Orthofix,"The Colony, Texas",Oracle Developer Lead – Supply Chain
49,Engenium Staffing Inc,"San Antonio, Texas",Web/Database Developer
50,TransPerfect,"Dallas, Texas",Programmer/Software Developer - Entry Level
51,Targetbase,"Garland, Texas",Lead .Net Engineer / Developer
52,Fjord,"Austin, Texas",Senior Front End Developer - Austin
53,Odyssey Information Services,"Houston, Texas",Syteline Developer
54,PMG GLOBAL,"Dallas, Texas",Senior SOA (Java/J2EE) Developer
55,CPS Energy,"San Antonio, Texas",Middleware Integration Developer - eMeter System Administrator
56,Labatt Food Service,"San Antonio, Texas",Full Stack Software Developer
57,Aristocrat,"Austin, Texas","C++ Developer - Social Casino Gaming, Mobile & Web"
58,Lifesize,"Austin, Texas",Sr Software Developer-Communications
59,Federal Reserve Bank of Dallas,"Dallas, Texas",Java/J2EE Developer - Distributed Apps
60,Match.com,"Garland, Texas",Sr iOS Developer
61,Parsley Energy,"Austin, Texas",SQL/Report Developer
62,"RealPage, Inc.","Garland, Texas",Software Developer - TFS Developer
63,innoWake,"Austin, Texas","Java Developer, Object-Oriented Programming"
64,Everi Holdings Inc.,"Austin, Texas","Senior Software Developer- Game Engine (Austin, TX)"
65,Persistent Systems,"Irving, Texas",Chef Developer
66,Wipro,"Austin, Texas",Java Developer
67,Dun & Bradstreet,"Austin, Texas",Sr. Developer/Engineer
68,Aquent,"Dallas, Texas",Elearning Developer
69,"Value Global, LLC.","Garland, Texas",Hadoop Developer
70,Paladin Consulting,"Addison, Texas",UI CMS Developer
71,RxWiki,"Austin, Texas",Senior Software Developer
72,Macquarium,"Houston, Texas",PHP Developer
73,The Creative Group,"Dallas, Texas",Digital Designer/Developer
74,InMotion Software,"Austin, Texas","Full Stack Web Developer (React, Angular)"
75,Consultis Information Technology,"Houston, Texas",Lead PeopleSoft Developer
76,"Delphi-US, LLC","Houston, Texas",WebMethods Developer
77,Smith & Associates,"Houston, Texas",OBIEE Developer at PREDICTif Solutions
78,Q2ebanking,"Austin, Texas",Python Data Migration Analyst/Developer
79,Precision Task Group,"Austin, Texas",PeopleSoft Financial Technical Developer
80,TM Floyd & Company,"Dallas, Texas",ASP.NET Developer
81,Stellargy Services LLC,"Irving, Texas",Java Developer
82,Maxsys Solutions,"Garland, Texas",Application Support Developer
83,Code to the Future,"Dallas, Texas",EdTech Curriculum Developer
84,Diverse Lynx LLC,"Dallas, Texas",Mulesoft Developer
85,VirtusaPolaris,"Garland, Texas",iOS Developer/Lead
86,Compass Technology Group,"Plano, Texas",Delphi Developer
87,Bridge Partners Consulting,"Austin, Texas",Database Designer/Developer
88,Select Interactive,"Garland, Texas",Web Developer
89,Anderson Frank,"Fort Worth, Texas","NetSuite Developer - Fort Worth, TX - $90K-$110K"
90,Genuent,"Austin, Texas",Sr. Full Stack Java Developer Role
91,OutMatch HCM,"Garland, Texas",.NET Developer
92,Ally Technology,"Plano, Texas",OpenStack Python / Django Sr. Software Developer
93,"Management Controls, Inc.","Houston, Texas",Senior Software Developer
94,Intific,"Austin, Texas",Senior Front End Web Developer
95,North Shore Steel,"Houston, Texas",Software Developer
96,Continental Technology Solutions,"Dallas, Texas",Datastage Developer
97,Brooksource,"Austin, Texas",Web Developer
98,People's Trust Federal Credit Union,"Houston, Texas",SQL Developer
99,Mason Frank International,"Dallas, Texas",Salesforce Developer in Dallas!
100,Alchemy Systems,"Austin, Texas",Senior Full Stack Developer
101,"Dealertrack, Inc.","Dallas, Texas",Web Developer
102,TMX Finance,"Garland, Texas",Sr/Lead Java Software Developer
103,KUBRA,"Garland, Texas",Senior Developer
104,Genuent,"Austin, Texas",Sr. Full Stack Java Developer Role
105,TriNet,"Austin, Texas",Staff ETL Developer
